;original_title;budget;popularity;release_date;revenue;clear_genres
0;Toy Story;30000000;21.946943;1995-10-30;373554033.0;Animation, Comedy, Family
1;Jumanji;65000000;17.015539;1995-12-15;262797249.0;Adventure, Fantasy, Family
2;Grumpier Old Men;0;11.7129;1995-12-22;0.0;Romance, Comedy
3;Waiting to Exhale;16000000;3.859495;1995-12-22;81452156.0;Comedy, Drama, Romance
4;Father of the Bride Part II;0;8.387519;1995-02-10;76578911.0;Comedy
5;Heat;60000000;17.924927;1995-12-15;187436818.0;Action, Crime, Drama, Thriller
6;Sabrina;58000000;6.677277;1995-12-15;0.0;Comedy, Romance
7;Tom and Huck;0;2.561161;1995-12-22;0.0;Action, Adventure, Drama, Family
8;Sudden Death;35000000;5.23158;1995-12-22;64350171.0;Action, Adventure, Thriller
9;GoldenEye;58000000;14.686036;1995-11-16;352194034.0;Adventure, Action, Thriller
10;The American President;62000000;6.318445;1995-11-17;107879496.0;Comedy, Drama, Romance
11;Dracula: Dead and Loving It;0;5.430331;1995-12-22;0.0;Comedy, Horror
12;Balto;0;12.140733;1995-12-22;11348324.0;Family, Animation, Adventure
13;Nixon;44000000;5.092;1995-12-22;13681765.0;History, Drama
14;Cutthroat Island;98000000;7.284477;1995-12-22;10017322.0;Action, Adventure
15;Casino;52000000;10.137389;1995-11-22;116112375.0;Drama, Crime
16;Sense and Sensibility;16500000;10.673167;1995-12-13;135000000.0;Drama, Romance
17;Four Rooms;4000000;9.026586;1995-12-09;4300000.0;Crime, Comedy
18;Ace Ventura: When Nature Calls;30000000;8.205448;1995-11-10;212385533.0;Crime, Comedy, Adventure
19;Money Train;60000000;7.337906;1995-11-21;35431113.0;Action, Comedy, Crime
20;Get Shorty;30250000;12.669608;1995-10-20;115101622.0;Comedy, Thriller, Crime
21;Copycat;0;10.701801;1995-10-27;0.0;Drama, Thriller
22;Assassins;50000000;11.065939;1995-10-06;30303072.0;Action, Adventure, Crime, Thriller
23;Powder;0;12.133094;1995-10-27;0.0;Drama, Fantasy, Science Fiction, Thriller
24;Leaving Las Vegas;3600000;10.332025;1995-10-27;49800000.0;Drama, Romance
25;Othello;0;1.845899;1995-12-15;0.0;Drama
26;Now and Then;12000000;8.681325;1995-10-20;27400000.0;Comedy, Drama, Family
27;Persuasion;0;2.228434;1995-09-27;0.0;Drama, Romance
28;La Cité des Enfants Perdus;18000000;9.822423;1995-05-16;1738611.0;Fantasy, Science Fiction, Adventure
29;摇啊摇，摇到外婆桥;0;1.100915;1995-04-30;0.0;Drama, Crime
30;Dangerous Minds;0;9.481338;1995-08-11;180000000.0;Drama, Crime
31;Twelve Monkeys;29500000;12.297305;1995-12-29;168840000.0;Science Fiction, Thriller, Mystery
32;Guillaumet, les ailes du courage;0;0.745542;1996-09-18;0.0;Romance, Adventure
33;Babe;30000000;14.404764;1995-07-18;254134910.0;Fantasy, Drama, Comedy, Family
34;Carrington;0;1.493361;1995-11-08;0.0;History, Drama, Romance
35;Dead Man Walking;11000000;6.891317;1995-12-29;39363635.0;Drama
36;Across the Sea of Time;0;0.114469;1995-10-20;0.0;Adventure, History, Drama, Family
37;It Takes Two;0;7.777735;1995-11-17;0.0;Comedy, Family, Romance
38;Clueless;12000000;9.882383;1995-07-19;0.0;Comedy, Drama, Romance
39;Cry, the Beloved Country;0;0.894647;1995-12-15;676525.0;Drama
40;Richard III;0;4.561387;1995-12-29;0.0;Drama, War
41;Dead Presidents;10000000;9.87957;1995-10-06;0.0;Action, Crime, Drama, History
42;Restoration;19000000;10.979269;1995-12-29;0.0;Drama, Romance
43;Mortal Kombat;18000000;10.870138;1995-08-18;122195920.0;Action, Fantasy
44;To Die For;20000000;10.448481;1995-05-20;21284514.0;Fantasy, Drama, Comedy, Thriller
45;How To Make An American Quilt;10000000;4.485958;1995-10-06;23574130.0;Drama, Romance
46;Se7en;33000000;18.45743;1995-09-22;327311859.0;Crime, Mystery, Thriller
47;Pocahontas;55000000;13.280069;1995-06-14;346079773.0;Adventure, Animation, Drama, Family
48;When Night Is Falling;0;3.302524;1995-05-05;0.0;Drama, Romance
49;The Usual Suspects;6000000;16.302466;1995-07-19;23341568.0;Drama, Crime, Thriller
50;Guardian Angel;0;0.595949;1994-11-22;0.0;Action, Thriller, Drama
51;Mighty Aphrodite;15000000;15.899134;1995-09-13;6700000.0;Comedy, Romance
52;Lamerica;0;1.361286;1994-01-01;0.0;Drama, Foreign
53;The Big Green;0;5.982764;1995-09-29;0.0;Action, Adventure, Comedy, Family
54;Georgia;0;4.093443;1995-05-19;0.0;Drama
55;Kids of the Round Table;0;0.307075;1997-07-08;0.0;
56;Home for the Holidays;0;8.416802;1995-11-02;17519169.0;Comedy, Drama, Romance
57;Il postino;0;10.168437;1994-09-22;0.0;Comedy, Drama, Romance
58;Le confessionnal;0;0.120789;1995-09-29;0.0;Thriller, Drama, Mystery
59;The Indian in the Cupboard;45000000;10.673296;1995-07-14;0.0;Adventure, Family, Fantasy
60;Eye for an Eye;20000000;4.733526;1996-01-12;0.0;Drama, Thriller
